defense_team,position,ease_factor,n_games,ease_0_100
DAL,QB,1.432,9,100.0
CIN,QB,1.334,8,85.4
JAX,QB,1.323,8,83.7
CHI,QB,1.265,8,75.1
NE,QB,1.251,9,72.8
WAS,QB,1.24,9,71.3
PIT,QB,1.235,8,70.5
IND,QB,1.13,9,54.8
NYG,QB,1.105,9,51.1
DET,QB,1.104,7,50.9
MIA,QB,1.074,9,46.4
NYJ,QB,1.057,8,43.9
SF,QB,1.057,9,43.8
ARI,QB,1.036,8,40.7
TB,QB,1.034,8,40.4
SEA,QB,1.032,8,40.2
MIN,QB,1.029,8,39.8
NO,QB,1.025,8,39.1
CLE,QB,1.022,7,38.7
BAL,QB,0.973,8,31.3
LV,QB,0.941,8,26.5
GB,QB,0.934,7,25.4
KC,QB,0.928,8,24.6
BUF,QB,0.917,7,23.0
TEN,QB,0.914,9,22.6
ATL,QB,0.891,8,19.0
LAR,QB,0.888,8,18.6
PHI,QB,0.869,8,15.8
CAR,QB,0.862,9,14.8
LAC,QB,0.782,9,2.7
HOU,QB,0.778,7,2.1
DEN,QB,0.764,8,0.0
CIN,RB,1.588,9,100.0
NYG,RB,1.414,9,81.3
DAL,RB,1.259,9,64.6
TEN,RB,1.243,9,62.9
CHI,RB,1.218,8,60.3
MIA,RB,1.197,9,58.0
BAL,RB,1.174,8,55.5
NYJ,RB,1.154,8,53.4
BUF,RB,1.148,8,52.7
LV,RB,1.146,8,52.5
SF,RB,1.101,9,47.7
PHI,RB,1.083,8,45.8
NO,RB,1.024,9,39.4
ATL,RB,1.012,8,38.2
TB,RB,1.012,8,38.1
LAC,RB,1.01,9,37.9
IND,RB,0.988,9,35.6
WAS,RB,0.969,9,33.5
PIT,RB,0.948,8,31.3
SEA,RB,0.945,8,30.9
ARI,RB,0.942,8,30.7
CAR,RB,0.939,9,30.3
NE,RB,0.921,8,28.4
HOU,RB,0.92,8,28.3
JAX,RB,0.904,8,26.6
DEN,RB,0.893,9,25.4
KC,RB,0.891,9,25.1
MIN,RB,0.867,8,22.6
GB,RB,0.805,8,16.0
DET,RB,0.781,8,13.4
CLE,RB,0.684,8,2.9
LAR,RB,0.656,7,0.0
CIN,TE,1.667,8,100.0
MIA,TE,1.359,9,72.4
IND,TE,1.327,9,69.5
PIT,TE,1.306,8,67.6
SEA,TE,1.281,8,65.4
NE,TE,1.269,8,64.3
NYJ,TE,1.217,7,59.6
GB,TE,1.206,7,58.6
DEN,TE,1.197,7,57.8
ARI,TE,1.172,8,55.6
CAR,TE,1.154,9,53.9
WAS,TE,1.151,9,53.7
NO,TE,1.143,9,53.0
CHI,TE,1.13,8,51.8
DAL,TE,1.129,9,51.7
SF,TE,1.127,8,51.5
MIN,TE,1.109,8,49.9
JAX,TE,1.098,7,49.0
TB,TE,1.065,8,45.9
CLE,TE,1.048,7,44.5
DET,TE,1.017,8,41.7
NYG,TE,0.996,9,39.8
LV,TE,0.986,6,38.8
LAR,TE,0.97,8,37.4
LAC,TE,0.917,7,32.7
KC,TE,0.91,7,32.0
BAL,TE,0.902,8,31.3
TEN,TE,0.847,9,26.4
HOU,TE,0.801,8,22.2
PHI,TE,0.723,7,15.3
ATL,TE,0.648,4,8.5
BUF,TE,0.553,7,0.0
DAL,WR,1.461,9,100.0
PIT,WR,1.383,8,89.2
CHI,WR,1.319,7,80.4
CLE,WR,1.258,7,72.0
NE,WR,1.222,9,66.9
BAL,WR,1.213,8,65.7
IND,WR,1.163,9,58.8
TB,WR,1.156,7,57.9
CIN,WR,1.111,9,51.6
LV,WR,1.101,8,50.2
GB,WR,1.089,8,48.6
BUF,WR,1.063,8,45.0
ARI,WR,1.062,8,44.9
DET,WR,1.06,8,44.6
NYG,WR,1.056,9,44.1
WAS,WR,1.036,8,41.3
SF,WR,1.03,9,40.4
LAR,WR,0.988,8,34.7
MIN,WR,0.98,8,33.6
TEN,WR,0.98,9,33.5
SEA,WR,0.97,8,32.2
NYJ,WR,0.965,8,31.5
NO,WR,0.949,9,29.2
JAX,WR,0.903,8,22.8
PHI,WR,0.894,8,21.6
MIA,WR,0.882,9,20.0
ATL,WR,0.863,8,17.3
CAR,WR,0.855,9,16.3
KC,WR,0.83,9,12.8
LAC,WR,0.799,9,8.4
HOU,WR,0.757,8,2.6
DEN,WR,0.738,9,0.0
